Country,AI_Adoption_Rate,Canada_Flag
Denmark,23.89,OECD
Portugal,17.33,OECD
Finland,15.79,OECD
Netherlands,13.1,OECD
Luxembourg,13,OECD
Slovenia,11.73,OECD
Norway,10.82,OECD
Germany,10.56,OECD
Belgium,10.32,OECD
Sweden,9.92,OECD
Austria,8.83,OECD
Croatia,8.74,OECD
Ireland,7.88,OECD
Spain,7.67,OECD
Colombia,7.18,OECD
France,6.67,OECD
Italy,6.17,OECD
Switzerland*,6.1,OECD
Slovak Republic,5.19,OECD
Canada,4.7,Canada
Czech Republic,4.46,OECD
Lithuania,4.45,OECD
United Kingdom*,4.11,OECD
Japan*,3.87,OECD
Latvia,3.72,OECD
Israel*,3.69,OECD
United States*,3.68,OECD
Bulgaria,3.29,OECD
Hungary,2.98,OECD
Poland,2.86,OECD
Estonia,2.77,OECD
Korea,2.7,OECD
Türkiye,2.69,OECD
Greece,2.61,OECD
Romania,1.38,OECD
