size,Percent,variable
All,28,Lack knowledge of available technologies
Small,28.3,Lack knowledge of available technologies
Medium,27.5,Lack knowledge of available technologies
Large,20.2,Lack knowledge of available technologies
All,69.1,No business needs identified
Small,69,No business needs identified
Medium,69.5,No business needs identified
Large,70.2,No business needs identified
All,8.2,Cost of service or equipment
Small,7.6,Cost of service or equipment
Medium,11,Cost of service or equipment
Large,9.8,Cost of service or equipment
All,8.7,"Employees lack the skills, training or experience"
Small,8.2,"Employees lack the skills, training or experience"
Medium,11.1,"Employees lack the skills, training or experience"
Large,10.8,"Employees lack the skills, training or experience"
All,4.8,Security or privacy concerns
Small,4.5,Security or privacy concerns
Medium,5.9,Security or privacy concerns
Large,6,Security or privacy concerns
All,5,Incompatibility with existing equipment or software
Small,4.2,Incompatibility with existing equipment or software
Medium,8,Incompatibility with existing equipment or software
Large,8.1,Incompatibility with existing equipment or software
All,2,"Legal issues, barriers or concerns"
Small,1.7,"Legal issues, barriers or concerns"
Medium,3.5,"Legal issues, barriers or concerns"
Large,2.7,"Legal issues, barriers or concerns"
All,12.6,Other
Small,12.5,Other
Medium,13,Other
Large,13.7,Other
