description,ai_per,overall
Overall,3.7,Overall
"Mining, quarrying, and oil and gas extraction ",4.3,Industry
Utilities,17.3,Industry
Construction,0.8,Industry
Manufacturing,4.6,Industry
Wholesale Trade,3.6,Industry
Retail Trade,2.8,Industry
Transportation and warehousing,4.1,Industry
Information and cultural industries,13.2,Industry
Finance and insurance,12.7,Industry
Real estate and rental and leasing,3.4,Industry
"Professional, scientific and technical services",8.9,Industry
Management of companies and enterprises,4.9,Industry
Administrative and support services ,6.3,Industry
Educational services,7.4,Industry
Health care and social assistance,1.6,Industry
"Arts, entertainment and recreation",3.1,Industry
Accomodation and food services,1.3,Industry
Other services (except public administration),0.9,Industry
