Figure_number,Approx_page,Figure_title,X_Axis,Y_Axis,Caption,Legends,X_Axis_Ticks,Y_Axis_Ticks,Other_Annocation,Notes,File_Name,Translations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1,,Overall AI Adoption in Canada,,% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage. Among all firms with 5 or more employees,,,%,,,,Figure 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2,,Firm Level AI Adoption in OECD Countries,,% of firms that have adopted AI,Source: OECD. Among all firms with 10 or more employees. * indicates data collected before 2021.,,,%,,,,Figure 2,Denmark,Portugal,Finland,Netherlands,Luxembourg,Slovenia,Norway,Germany,Belgium,Sweden,Austria,Croatia,Ireland,Spain,Colombia,France,Italy,Switzerland*,Slovak Republic,Canada,Czech Republic,Lithuania,United Kingdom*,Japan*,Latvia,Israel*,United States*,Bulgaria,Hungary,Poland,Estonia,Korea,Türkiye,Greece,Romania
Figure 3,,IBM Global AI Adoption Index,,% of firms that have adopted AI,Source: IBM,,,%,,,,Figure 3,China,India,Italy,Singapore,United Arab Emirates,Germany,Global,France,Spain,Latin America,Canada,United Kingdom,United States,Australia,South Korea,,,,,,,,,,,,,,,,,,,,
Figure 4,,AI Adoption by Firm Size,,% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage,,,%,,,,Figure 4,All,Small,Medium,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5,,AI Adoption by Industry,,% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage,,,%,,,,Figure 5,Overall,"Mining, quarrying, and oil and gas extraction ",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,Administrative and support services ,Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accomodation and food services,Other services (except public administration),,,,,,,,,,,,,,,,
Figure 6A,,GDP Contribution of Industries by AI Adoption,"GDP Contribution (in $1,000s)",% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage,,,%,,Custom,,Figure 6A,All industries,"Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing ,Wholesale trade,Retail trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,Administrative and support,Educational services,Health care and social assistance,"Arts, entertainment and recreation","Accommodation, food services",Other services,,,,,,,,,,,,,,,,
Figure 6B,,Employment in Industries by AI Adoption,Employment (in 1000s),% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage,,,%,,,,Figure 6B,All industries,"Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing ,Wholesale trade,Retail trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,Administrative and support,Educational services,Health care and social assistance,"Arts, entertainment and recreation","Accommodation, food services",Other services,,,,,,,,,,,,,,,,
Figure 7,,Majority Firm Ownership of AI Adopting Firms,,% of firms that have adopted AI,Source: Canadian Survey of Business Conditions,,,%,,,,Figure 7,All,Women,Indigenous Peoples,Immigrants,Persons w/ disability,Visible Minority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 8,,AI Adoption by Region,,% of firms that have adopted AI,Source: Survey of Digital Technology and Internet Usage,,,%,,,,Figure 8,Alberta,Atlantic & Territories,BC,Manitoba,Ontario,Quebec,Saskatchewan,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,
